algorithm,seed,environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates
idqn,3,2600510,0.48055553,0.20415045,0.44087306,0.20649728,0.05,2.8728835582733154,21.75,0.92142856,0.0043903291982132,10.55876413222684,0.24526122,0.0023700715999554,68316
idqn,3,2700510,0.38125,0.22427331,0.43374997,0.23631407,0.05,2.547410488128662,27.75,0.81499994,0.0046423561958363,14.659041578493458,0.36093628,0.002087076043799,72507
idqn,3,2800511,0.3382936,0.23221222,0.40218258,0.26445475,0.05,2.531571388244629,30.85,0.7404762,0.0054423332010628,13.936552658387225,0.41825548,0.0028379154189469,76830
idqn,3,2900521,0.40841275,0.28064242,0.37492064,0.26038405,0.05,2.370732069015503,27.55,0.78333336,0.0066201771522173,13.930093323449055,0.39826012,0.0052883869702237,81036
idqn,3,3000529,0.46563497,0.20275705,0.4643651,0.19240983,0.05,2.5226891040802,22.05,0.93,0.0037444165005581,11.897373659762057,0.23043434,0.0019819059369332,85397
idqn,3,3100553,0.4977778,0.19542158,0.4522222,0.19903648,0.05,2.349545955657959,22.55,0.95,0.0035916291468311,13.082335418418229,0.1190238,0.0020473574651253,89973
idqn,3,3200561,0.4364881,0.21539636,0.48494047,0.21475784,0.05,2.1057283878326416,20.65,0.92142856,0.0041921041556634,11.069214064241418,0.24526122,0.00189929632393,94512
idqn,3,3300568,0.4166964,0.23515359,0.4833036,0.24891351,0.05,1.9777076244354248,22.3,0.9,0.0036154250992694,12.369721096289926,0.29999998,0.0019112879806549,99107
idqn,3,3400581,0.47906747,0.17108381,0.50426584,0.18773705,0.05,1.8223907947540283,19.95,0.9833334,0.0034919250407256,8.182145195485106,0.07264831,0.0014388574186689,103706
idqn,3,3500586,0.40343255,0.18890083,0.5465675,0.20697892,0.05,1.8411270380020144,19.7,0.95,0.0033414791018003,8.626123115281858,0.21794495,0.0015024517977419,108634
idqn,3,3600599,0.4237103,0.2503763,0.4762897,0.260665,0.05,1.4965204000473022,22.85,0.9,0.0045552584604592,11.799470327095197,0.29999998,0.0036482391806752,113500
idqn,3,3700614,0.44801584,0.15754089,0.5519842,0.15754089,0.05,1.5796575546264648,18.0,1.0,0.0041210519964806,5.813776741499453,0.0,0.0020427107401191,118331
idqn,3,3800615,0.44825402,0.24643742,0.46841264,0.24982253,0.05,1.5700782537460327,20.8,0.9166667,0.0044739124859916,10.317945531936092,0.25549516,0.0023915364459542,123276
idqn,3,3900627,0.44563493,0.23749597,0.4793651,0.24276349,0.05,1.4617605209350586,19.75,0.925,0.0032935519964667,11.536355577044253,0.2384848,0.0019114031705394,128229
idqn,4,100030,0.12095239,0.20684654,0.030833334,0.08337916,0.76242875,1.2818260192871094,50.0,0.15178572,0.0089388645021244,0.0,0.22767168,0.0025724083030389,1972
idqn,4,200050,0.07650794,0.19079049,0.051071428,0.103343956,0.52488125,1.2757211923599243,50.0,0.12757936,0.0075763895962154,0.0,0.1981571,0.0001340445465705,4014
idqn,4,300087,0.055,0.09959641,0.04916667,0.10130742,0.287293375,1.2337136268615725,50.0,0.10416667,0.0073573938541812,0.0,0.16088945,0.0002070175063608,6069
idqn,4,400087,0.08369048,0.13544935,0.097321436,0.15445568,0.05,0.971894919872284,50.0,0.1810119,0.009730681151268,0.0,0.21090068,0.002694850133048,8104
idqn,4,500107,0.03666667,0.09061518,0.022619048,0.07041947,0.05,1.3372762203216553,50.0,0.05928571,0.0090702188055729,0.0,0.1306401,0.0029501511435259,10123
